RegionID,SizeRank,City/State,July Average Rent,Radius,YOY %
102001,0,United States,1887,,
394913,1,"New York, NY",3533,50,4.20%
753899,2,"Los Angeles, CA",2741,50,2.20%
394463,3,"Chicago, IL",2184,50,5.90%
394514,4,"Dallas, TX",1577,50,0.30%
394692,5,"Houston, TX",1480,50,0.10%
395209,6,"Washington, DC",2364,50,2.40%
394974,7,"Philadelphia, PA",1871,45,2.50%
394856,8,"Miami, FL",2545,45,1.60%
394347,9,"Atlanta, GA",1721,50,0.60%
394404,10,"Boston, MA",3165,40,2.90%
394976,11,"Phoenix, AZ",1567,45,-1.80%
395057,12,"San Francisco, CA",2943,45,4.60%
395025,13,"Riverside, CA",2318,40,2.90%
394532,14,"Detroit, MI",1445,45,3.60%
395078,15,"Seattle, WA",2128,45,2.20%
394865,16,"Minneapolis, MN",1602,45,3.30%
395056,17,"San Diego, CA",2779,40,1.30%
395148,18,"Tampa, FL",1918,40,3.00%
394530,19,"Denver, CO",1831,45,-2.60%
394358,20,"Baltimore, MD",1803,35,2.00%
395121,21,"St. Louis, MO",1369,40,3.00%
394943,22,"Orlando, FL",1865,40,0.00%
394458,23,"Charlotte, NC",1595,35,0.00%
395055,24,"San Antonio, TX",1297,45,-1.80%
394998,25,"Portland, OR",1718,40,1.20%
395045,26,"Sacramento, CA",2055,40,1.40%
394982,27,"Pittsburgh, PA",1458,35,4.30%
394466,28,"Cincinnati, OH",1441,35,4.10%
394355,29,"Austin, TX",1520,35,-3.90%
394775,30,"Las Vegas, NV",1570,30,-0.40%
394735,31,"Kansas City, MO",1424,35,3.70%
394492,32,"Columbus, OH",1440,35,4.10%
394705,34,"Indianapolis, IN",1414,35,4.30%
394475,35,"Cleveland, OH",1352,35,4.10%
395059,36,"San Jose, CA",3280,40,3.20%
394902,37,"Nashville, TN",1687,40,-0.90%
395194,38,"Virginia Beach, VA",1657,35,4.30%
395005,39,"Providence, RI",2129,30,6.20%
394714,40,"Jacksonville, FL",1517,35,0.20%
394862,41,"Milwaukee, WI",1429,35,4.00%
394935,42,"Oklahoma City, OK",1131,35,3.40%
395012,43,"Raleigh, NC",1531,35,-1.10%
394849,44,"Memphis, TN",1297,35,1.40%
395022,45,"Richmond, VA",1620,35,3.40%
394807,46,"Louisville, KY",1273,35,1.60%
394910,47,"New Orleans, LA",1536,35,2.10%
395053,48,"Salt Lake City, UT",1575,40,0.40%
394669,49,"Hartford, CT",1902,30,4.20%
394425,50,"Buffalo, NY",1386,30,3.80%
394388,51,"Birmingham, AL",1347,30,3.30%
395031,52,"Rochester, NY",1464,30,4.70%
394640,53,"Grand Rapids, MI",1467,30,4.20%
395167,54,"Tucson, AZ",1237,35,0.90%
753924,55,"Urban Honolulu, HI",2685,30,3.50%
395169,56,"Tulsa, OK",1169,35,0.90%
394619,57,"Fresno, CA",1590,35,3.50%
395238,58,"Worcester, MA",2127,30,6.70%
394938,59,"Omaha, NE",1304,30,3.30%
394415,60,"Bridgeport, CT",2668,25,5.40%
394653,61,"Greenville, SC",1498,30,3.10%
394312,62,"Albuquerque, NM",1391,35,2.90%
394357,63,"Bakersfield, CA",1444,35,2.70%
394308,64,"Albany, NY",1571,30,4.60%
394753,65,"Knoxville, TN",1655,30,4.10%
394367,66,"Baton Rouge, LA",1273,30,1.60%
394843,67,"McAllen, TX",1012,30,1.20%
394908,68,"New Haven, CT",2121,30,4.50%
394561,69,"El Paso, TX",1161,30,3.20%
394318,70,"Allentown, PA",1723,30,3.00%
394952,71,"Oxnard, CA",2783,25,3.90%
394486,72,"Columbia, SC",1371,30,4.80%
753906,73,"North Port, FL",1966,25,-1.90%
845158,74,"Dayton, OH",1289,35,4.90%
394457,75,"Charleston, SC",1915,30,1.90%
394648,76,"Greensboro, NC",1180,30,0.80%
395134,77,"Stockton, CA",1960,30,2.00%
394440,78,"Cape Coral, FL",1768,25,-2.50%
394399,79,"Boise City, ID",1538,35,3.00%
394484,80,"Colorado Springs, CO",1525,35,-1.80%
394798,81,"Little Rock, AR",1090,30,1.70%
394766,82,"Lakeland, FL",1655,25,1.80%
394304,83,"Akron, OH",1251,30,3.40%
394531,84,"Des Moines, IA",1176,30,0.30%
395115,85,"Springfield, MA",1794,30,6.00%
845159,86,"Poughkeepsie, NY",2023,25,4.60%
394931,87,"Ogden, UT",1495,25,1.20%
394816,88,"Madison, WI",1540,30,3.90%
395235,89,"Winston, NC",1417,30,5.10%
394528,90,"Deltona, FL",1609,25,1.80%
395143,91,"Syracuse, NY",1575,30,5.90%
395006,92,"Provo, UT",1505,30,1.30%
395160,93,"Toledo, OH",1318,30,3.60%
395224,94,"Wichita, KS",911,30,1.90%
394549,95,"Durham, NC",1586,30,0.40%
394352,96,"Augusta, GA",1273,30,7.10%
