RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY %
102001,0,United States,,,1887,,
394913,1,"New York, NY",40.7128,-74.006,3533,25,4.20%
753899,2,"Los Angeles, CA",34.0522,-118.2437,2741,25,2.20%
394463,3,"Chicago, IL",41.8781,-87.6298,2184,25,5.90%
394514,4,"Dallas, TX",32.7767,-96.797,1577,25,0.30%
394692,5,"Houston, TX",29.7604,-95.3698,1480,25,0.10%
395209,6,"Washington, DC",38.9072,-77.0369,2364,25,2.40%
394974,7,"Philadelphia, PA",39.9526,-75.1652,1871,22.5,2.50%
394856,8,"Miami, FL",25.7617,-80.1918,2545,22.5,1.60%
394347,9,"Atlanta, GA",33.749,-84.388,1721,25,0.60%
394404,10,"Boston, MA",42.3601,-71.0589,3165,20,2.90%
394976,11,"Phoenix, AZ",33.4484,-112.074,1567,22.5,-1.80%
395057,12,"San Francisco, CA",37.7749,-122.4194,2943,22.5,4.60%
395025,13,"Riverside, CA",33.9806,-117.3755,2318,20,2.90%
394532,14,"Detroit, MI",42.3314,-83.0458,1445,22.5,3.60%
395078,15,"Seattle, WA",47.6062,-122.3321,2128,22.5,2.20%
394865,16,"Minneapolis, MN",44.9778,-93.265,1602,22.5,3.30%
395056,17,"San Diego, CA",32.7157,-117.1611,2779,20,1.30%
395148,18,"Tampa, FL",27.9506,-82.4572,1918,20,3.00%
394530,19,"Denver, CO",39.7392,-104.9903,1831,22.5,-2.60%
394358,20,"Baltimore, MD",39.2904,-76.6122,1803,17.5,2.00%
395121,21,"St. Louis, MO",38.627,-90.1994,1369,20,3.00%
394943,22,"Orlando, FL",28.5383,-81.3792,1865,20,0.00%
394458,23,"Charlotte, NC",35.2271,-80.8431,1595,17.5,0.00%
395055,24,"San Antonio, TX",29.4241,-98.4936,1297,22.5,-1.80%
394998,25,"Portland, OR",45.5051,-122.675,1718,20,1.20%
395045,26,"Sacramento, CA",38.5816,-121.4944,2055,20,1.40%
394982,27,"Pittsburgh, PA",40.4406,-79.9959,1458,17.5,4.30%
394466,28,"Cincinnati, OH",39.1031,-84.512,1441,17.5,4.10%
394355,29,"Austin, TX",30.2672,-97.7431,1520,17.5,-3.90%
394775,30,"Las Vegas, NV",36.1699,-115.1398,1570,15,-0.40%
394735,31,"Kansas City, MO",39.0997,-94.5786,1424,17.5,3.70%
394492,32,"Columbus, OH",39.9612,-82.9988,1440,17.5,4.10%
394705,34,"Indianapolis, IN",39.7684,-86.1581,1414,17.5,4.30%
394475,35,"Cleveland, OH",41.4993,-81.6944,1352,17.5,4.10%
395059,36,"San Jose, CA",37.3382,-121.8863,3280,20,3.20%
394902,37,"Nashville, TN",36.1627,-86.7816,1687,20,-0.90%
395194,38,"Virginia Beach, VA",36.8529,-75.978,1657,17.5,4.30%
395005,39,"Providence, RI",41.824,-71.4128,2129,15,6.20%
394714,40,"Jacksonville, FL",30.3322,-81.6557,1517,17.5,0.20%
394862,41,"Milwaukee, WI",43.0389,-87.9065,1429,17.5,4.00%
394935,42,"Oklahoma City, OK",35.4676,-97.5164,1131,17.5,3.40%
395012,43,"Raleigh, NC",35.7796,-78.6382,1531,17.5,-1.10%
394849,44,"Memphis, TN",35.1495,-90.049,1297,17.5,1.40%
395022,45,"Richmond, VA",37.5407,-77.436,1620,17.5,3.40%
394807,46,"Louisville, KY",38.2527,-85.7585,1273,17.5,1.60%
394910,47,"New Orleans, LA",29.9511,-90.0715,1536,17.5,2.10%
395053,48,"Salt Lake City, UT",40.7608,-111.891,1575,20,0.40%
394669,49,"Hartford, CT",41.7658,-72.6734,1902,15,4.20%
394425,50,"Buffalo, NY",42.8864,-78.8784,1386,15,3.80%
394388,51,"Birmingham, AL",33.5186,-86.8104,1347,15,3.30%
395031,52,"Rochester, NY",43.1566,-77.6088,1464,15,4.70%
394640,53,"Grand Rapids, MI",42.9634,-85.6681,1467,15,4.20%
395167,54,"Tucson, AZ",32.2226,-110.9747,1237,17.5,0.90%
753924,55,"Urban Honolulu, HI",21.3069,-157.8583,2685,15,3.50%
395169,56,"Tulsa, OK",36.1539,-95.9928,1169,17.5,0.90%
394619,57,"Fresno, CA",36.7378,-119.7871,1590,17.5,3.50%
395238,58,"Worcester, MA",42.2626,-71.8023,2127,15,6.70%
394938,59,"Omaha, NE",41.2565,-95.9345,1304,15,3.30%
394415,60,"Bridgeport, CT",41.1792,-73.1894,2668,12.5,5.40%
394653,61,"Greenville, SC",34.8526,-82.394,1498,15,3.10%
394312,62,"Albuquerque, NM",35.0844,-106.6504,1391,17.5,2.90%
394357,63,"Bakersfield, CA",35.3733,-119.0187,1444,17.5,2.70%
394308,64,"Albany, NY",42.6526,-73.7562,1571,15,4.60%
394753,65,"Knoxville, TN",35.9606,-83.9207,1655,15,4.10%
394367,66,"Baton Rouge, LA",30.4515,-91.1871,1273,15,1.60%
394843,67,"McAllen, TX",26.2034,-98.23,1012,15,1.20%
394908,68,"New Haven, CT",41.3083,-72.9279,2121,15,4.50%
394561,69,"El Paso, TX",31.7619,-106.485,1161,15,3.20%
394318,70,"Allentown, PA",40.6084,-75.4902,1723,15,3.00%
394952,71,"Oxnard, CA",34.1975,-119.1771,2783,12.5,3.90%
394486,72,"Columbia, SC",34.0007,-81.0348,1371,15,4.80%
753906,73,"North Port, FL",27.0442,-82.2359,1966,12.5,-1.90%
845158,74,"Dayton, OH",39.7589,-84.1916,1289,17.5,4.90%
394457,75,"Charleston, SC",32.7765,-79.9311,1915,15,1.90%
394648,76,"Greensboro, NC",36.0726,-79.792,1180,15,0.80%
395134,77,"Stockton, CA",37.9577,-121.2908,1960,15,2.00%
394440,78,"Cape Coral, FL",26.5629,-81.9495,1768,12.5,-2.50%
394399,79,"Boise City, ID",43.615,-116.2023,1538,17.5,3.00%
394484,80,"Colorado Springs, CO",38.8339,-104.8214,1525,17.5,-1.80%
394798,81,"Little Rock, AR",34.7465,-92.2896,1090,15,1.70%
394766,82,"Lakeland, FL",28.0395,-81.9498,1655,12.5,1.80%
394304,83,"Akron, OH",41.0814,-81.519,1251,15,3.40%
394531,84,"Des Moines, IA",41.5868,-93.625,1176,15,0.30%
395115,85,"Springfield, MA",42.1015,-72.5898,1794,15,6.00%
845159,86,"Poughkeepsie, NY",41.7004,-73.921,2023,12.5,4.60%
394931,87,"Ogden, UT",41.223,-111.9738,1495,12.5,1.20%
394816,88,"Madison, WI",43.0731,-89.4012,1540,15,3.90%
395235,89,"Winston, NC",36.0999,-80.2442,1417,15,5.10%
394528,90,"Deltona, FL",28.9005,-81.2637,1609,12.5,1.80%
395143,91,"Syracuse, NY",43.0481,-76.1474,1575,15,5.90%
395006,92,"Provo, UT",40.2338,-111.6585,1505,15,1.30%
395160,93,"Toledo, OH",41.6528,-83.5379,1318,15,3.60%
